Date,SP500,IBEX35
2019-03-25,2798.360107421875,9179.900390625
2019-03-26,2818.4599609375,9183.099609375
2019-03-27,2805.3701171875,9229.900390625
2019-03-28,2815.43994140625,9174.7001953125
2019-03-29,2834.39990234375,9240.2998046875
2019-04-01,2867.18994140625,9341.7001953125
2019-04-02,2867.239990234375,9363.5
2019-04-03,2873.39990234375,9487.7998046875
2019-04-04,2879.389892578125,9534.099609375
2019-04-05,2892.739990234375,9510.2998046875
2019-04-08,2895.77001953125,9437.7001953125
2019-04-09,2878.199951171875,9407.7998046875
2019-04-10,2888.2099609375,9406.5
2019-04-11,2888.320068359375,9445.400390625
2019-04-12,2907.409912109375,9468.5
2019-04-15,2905.580078125,9497.099609375
2019-04-16,2907.06005859375,9497.2998046875
2019-04-17,2900.449951171875,9549.7998046875
2019-04-18,2905.030029296875,9581.900390625
2019-04-23,2933.679931640625,9527.2001953125
2019-04-24,2927.25,9456.400390625
2019-04-25,2926.169921875,9501.2001953125
2019-04-26,2939.8798828125,9506.0
2019-04-29,2943.030029296875,9517.2001953125
2019-04-30,2945.830078125,9570.599609375
2019-05-02,2917.52001953125,9418.2001953125
2019-05-03,2945.639892578125,9409.599609375
2019-05-06,2932.469970703125,9331.0
2019-05-07,2884.050048828125,9235.099609375
2019-05-08,2879.419921875,9227.0
2019-05-09,2870.719970703125,9095.2001953125
2019-05-10,2881.39990234375,9117.5
2019-05-13,2811.8701171875,9046.7998046875
2019-05-14,2834.409912109375,9127.599609375
2019-05-15,2850.9599609375,9177.099609375
2019-05-16,2876.320068359375,9304.2998046875
2019-05-17,2859.530029296875,9280.099609375
2019-05-20,2840.22998046875,9199.7001953125
2019-05-21,2864.360107421875,9239.099609375
2019-05-22,2856.27001953125,9232.2001953125
2019-05-23,2822.239990234375,9114.0
2019-05-24,2826.06005859375,9174.599609375
2019-05-28,2802.389892578125,9191.7998046875
2019-05-29,2783.02001953125,9080.5
2019-05-30,2788.860107421875,9157.7998046875
2019-05-31,2752.06005859375,9004.2001953125
2019-06-03,2744.449951171875,9022.7998046875
2019-06-04,2803.27001953125,9117.599609375
2019-06-05,2826.14990234375,9150.5
2019-06-06,2843.489990234375,9169.2001953125
2019-06-07,2873.340087890625,9236.099609375
2019-06-10,2886.72998046875,9294.099609375
2019-06-11,2885.719970703125,9282.099609375
2019-06-12,2879.840087890625,9238.5
2019-06-13,2891.639892578125,9247.099609375
2019-06-14,2886.97998046875,9194.2001953125
2019-06-17,2889.669921875,9131.7001953125
2019-06-18,2917.75,9240.7001953125
2019-06-19,2926.4599609375,9231.2001953125
2019-06-20,2954.179931640625,9208.5
2019-06-21,2950.4599609375,9227.2001953125
2019-06-24,2945.35009765625,9192.5
2019-06-25,2917.3798828125,9159.7998046875
2019-06-26,2913.780029296875,9157.400390625
2019-06-27,2924.919921875,9147.7998046875
2019-06-28,2941.760009765625,9198.7998046875
2019-07-01,2964.330078125,9264.599609375
2019-07-02,2973.010009765625,9281.5
2019-07-03,2995.820068359375,9394.400390625
2019-07-05,2990.409912109375,9335.0
2019-07-08,2975.949951171875,9284.7001953125
2019-07-09,2979.6298828125,9273.900390625
2019-07-10,2993.070068359375,9252.900390625
2019-07-11,2999.909912109375,9280.2998046875
2019-07-12,3013.77001953125,9293.2001953125
2019-07-15,3014.300048828125,9323.599609375
2019-07-16,3004.0400390625,9377.099609375
2019-07-17,2984.419921875,9284.2001953125
2019-07-18,2995.110107421875,9225.7001953125
2019-07-19,2976.610107421875,9170.5
2019-07-22,2985.030029296875,9163.5
2019-07-23,3005.469970703125,9281.599609375
2019-07-24,3019.56005859375,9329.7001953125
2019-07-25,3003.669921875,9289.900390625
2019-07-26,3025.860107421875,9225.5
2019-07-29,3020.969970703125,9215.400390625
2019-07-30,3013.179931640625,8986.599609375
2019-07-31,2980.3798828125,8971.0
2019-08-01,2953.56005859375,9038.2001953125
2019-08-02,2932.050048828125,8897.599609375
2019-08-05,2844.739990234375,8777.2001953125
2019-08-06,2881.77001953125,8699.400390625
2019-08-07,2883.97998046875,8746.099609375
2019-08-08,2938.090087890625,8869.0
2019-08-09,2918.64990234375,8757.7998046875
2019-08-12,2882.699951171875,8676.400390625
2019-08-13,2926.320068359375,8695.099609375
2019-08-14,2840.60009765625,8522.7001953125
2019-08-15,2847.60009765625,8519.0
2019-08-16,2888.679931640625,8670.400390625
2019-08-19,2923.64990234375,8733.2998046875
2019-08-20,2900.510009765625,8618.2998046875
2019-08-21,2924.429931640625,8701.5
2019-08-22,2922.949951171875,8716.400390625
2019-08-23,2847.110107421875,8649.5
2019-08-26,2878.3798828125,8679.2001953125
2019-08-27,2869.159912109375,8728.900390625
2019-08-28,2887.93994140625,8747.099609375
2019-08-29,2924.580078125,8794.2998046875
2019-08-30,2926.4599609375,8812.900390625
2019-09-03,2906.27001953125,8809.2001953125
2019-09-04,2937.780029296875,8856.599609375
2019-09-05,2976.0,8992.7001953125
2019-09-06,2978.7099609375,8990.099609375
2019-09-09,2978.429931640625,9010.599609375
2019-09-10,2979.389892578125,9078.2001953125
2019-09-11,3000.929931640625,9059.5
2019-09-12,3009.570068359375,9082.2998046875
2019-09-13,3007.389892578125,9137.900390625
2019-09-16,2997.9599609375,9052.0
2019-09-17,3005.699951171875,9004.2001953125
2019-09-18,3006.72998046875,9031.7001953125
2019-09-19,3006.7900390625,9136.0
2019-09-20,2992.070068359375,9179.0
2019-09-23,2991.780029296875,9093.599609375
2019-09-24,2966.60009765625,9118.2001953125
2019-09-25,2984.8701171875,9085.2998046875
2019-09-26,2977.6201171875,9129.7001953125
2019-09-27,2961.7900390625,9184.099609375
2019-09-30,2976.739990234375,9244.599609375
2019-10-01,2940.25,9165.900390625
2019-10-02,2887.610107421875,8912.2001953125
2019-10-03,2910.6298828125,8902.2001953125
2019-10-04,2952.010009765625,8961.7998046875
2019-10-07,2938.7900390625,9044.099609375
2019-10-08,2893.06005859375,8940.099609375
2019-10-09,2919.39990234375,8991.900390625
2019-10-10,2938.1298828125,9104.400390625
2019-10-11,2970.27001953125,9273.7998046875
2019-10-14,2966.14990234375,9246.5
2019-10-15,2995.679931640625,9356.099609375
2019-10-16,2989.68994140625,9386.7001953125
2019-10-17,2997.949951171875,9340.0
2019-10-18,2986.199951171875,9329.7998046875
2019-10-21,3006.719970703125,9402.2998046875
2019-10-22,2995.989990234375,9380.2001953125
2019-10-23,3004.52001953125,9385.0
2019-10-24,3010.2900390625,9391.7998046875
2019-10-25,3022.550048828125,9430.2001953125
2019-10-28,3039.419921875,9433.0
2019-10-29,3036.889892578125,9400.099609375
2019-10-30,3046.77001953125,9284.5
2019-10-31,3037.56005859375,9257.5
2019-11-01,3066.909912109375,9328.0
2019-11-04,3078.27001953125,9416.400390625
2019-11-05,3074.6201171875,9407.900390625
2019-11-06,3076.780029296875,9398.400390625
2019-11-07,3085.179931640625,9447.2998046875
2019-11-08,3093.080078125,9393.7001953125
2019-11-11,3087.010009765625,9388.5
2019-11-12,3091.840087890625,9306.7001953125
2019-11-13,3094.0400390625,9194.5
2019-11-14,3096.6298828125,9173.2998046875
2019-11-15,3120.4599609375,9261.400390625
2019-11-18,3122.030029296875,9258.0
2019-11-19,3120.179931640625,9259.2001953125
2019-11-20,3108.4599609375,9225.400390625
2019-11-21,3103.5400390625,9214.0
2019-11-22,3110.2900390625,9254.7001953125
2019-11-25,3133.639892578125,9319.900390625
2019-11-26,3140.52001953125,9324.7998046875
2019-11-27,3153.6298828125,9362.7001953125
2019-11-29,3140.97998046875,9352.0
2019-12-02,3113.8701171875,9156.2998046875
2019-12-03,3093.199951171875,9135.7001953125
2019-12-04,3112.760009765625,9270.7998046875
2019-12-05,3117.429931640625,9243.400390625
2019-12-06,3145.909912109375,9382.7001953125
2019-12-09,3135.9599609375,9354.599609375
2019-12-10,3132.52001953125,9321.099609375
2019-12-11,3141.6298828125,9392.5
2019-12-12,3168.570068359375,9468.5
2019-12-13,3168.800048828125,9563.7001953125
2019-12-16,3191.449951171875,9680.599609375
2019-12-17,3192.52001953125,9615.900390625
2019-12-18,3191.139892578125,9621.7998046875
2019-12-19,3205.3701171875,9617.2001953125
2019-12-20,3221.219970703125,9675.5
2019-12-23,3224.010009765625,9659.599609375
2019-12-24,3223.3798828125,9661.7998046875
2019-12-27,3240.02001953125,9700.5
2019-12-30,3221.2900390625,9612.599609375
2019-12-31,3230.780029296875,9549.2001953125
2020-01-02,3257.85009765625,9691.2001953125
2020-01-03,3234.85009765625,9646.599609375
2020-01-06,3246.280029296875,9600.900390625
2020-01-07,3237.179931640625,9579.7998046875
2020-01-08,3253.050048828125,9591.400390625
2020-01-09,3274.699951171875,9581.7998046875
2020-01-10,3265.35009765625,9573.599609375
2020-01-13,3288.1298828125,9543.900390625
2020-01-14,3283.14990234375,9528.2998046875
2020-01-15,3289.2900390625,9511.7001953125
2020-01-16,3316.81005859375,9572.5
2020-01-17,3329.6201171875,9681.2998046875
2020-01-21,3320.7900390625,9611.2998046875
2020-01-22,3321.75,9573.7001953125
2020-01-23,3325.5400390625,9518.5
2020-01-24,3295.469970703125,9562.0
2020-01-27,3243.6298828125,9366.2998046875
2020-01-28,3276.239990234375,9484.2001953125
2020-01-29,3273.39990234375,9546.7001953125
2020-01-30,3283.659912109375,9477.900390625
2020-01-31,3225.52001953125,9367.900390625
2020-02-03,3248.919921875,9404.7001953125
2020-02-04,3297.590087890625,9562.900390625
2020-02-05,3334.68994140625,9717.7998046875
2020-02-06,3345.780029296875,9811.2998046875
2020-02-07,3327.7099609375,9811.0
2020-02-10,3352.090087890625,9816.0
2020-02-11,3357.75,9882.599609375
2020-02-12,3379.449951171875,9940.400390625
2020-02-13,3373.93994140625,9909.7998046875
2020-02-14,3380.159912109375,9956.7998046875
2020-02-18,3370.2900390625,10005.7998046875
2020-02-19,3386.14990234375,10083.599609375
2020-02-20,3373.22998046875,9931.0
2020-02-21,3337.75,9886.2001953125
2020-02-24,3225.889892578125,9483.5
2020-02-25,3128.2099609375,9250.7998046875
2020-02-26,3116.389892578125,9316.7998046875
2020-02-27,2978.760009765625,8985.900390625
2020-02-28,2954.219970703125,8723.2001953125
2020-03-02,3090.22998046875,8741.5
2020-03-03,3003.3701171875,8811.599609375
2020-03-04,3130.1201171875,8910.0
2020-03-05,3023.93994140625,8683.0
2020-03-06,2972.3701171875,8375.599609375
2020-03-09,2746.56005859375,7708.7001953125
2020-03-10,2882.22998046875,7461.5
2020-03-11,2741.3798828125,7436.39990234375
2020-03-12,2480.639892578125,6390.89990234375
2020-03-13,2711.02001953125,6629.60009765625
2020-03-16,2386.1298828125,6107.2001953125
2020-03-17,2529.18994140625,6498.5
2020-03-18,2398.10009765625,6274.7998046875
